"REALFULLNAME","Quantity","CodeSup","BarCode","Name of Item","Weight","Supplier Cost","Selling Price","PackSize","Type of Item","SubType","ReStock Quantity","Replenishment Amount","SupplierName","ProfitOnReturn","TaxRate","TotalQuantitySold7Days","TotalQuantitySold14Days","TotalQuantitySold30Days","LastSoldDate","TotalQuantitySold"
"Tiny Friends Farm Russel Rabbit Original 2.5kg","7","SR3111NET","5015622204878","Tiny Friends Farm Russel Rabbit Original 2.5kg","0","3.36","5.95","1","Small Animal","Food","4","8","Glenkrag","30.54","23","0","0","0","01/01/1900 00:00:00","0"
"Tiny Friends Farm Russel Rabbit Tasty Mix 12.5kg","2","SR1112NET","5015622207787","Tiny Friends Farm Russel Rabbit Tasty Mix 12.5kg","0","14.95","24.95","1","Small Animal","Food","-1","3","Glenkrag","26.3","23","0","0","0","01/01/1900 00:00:00","0"
"Tiny Friends Farm Stickles Hay & Herb","1","Sr8482net","730582210268","Tiny Friends Farm Stickles Hay & Herb","0","1.47","2.95","1","Small Animal","Treat","1","3","Glenkrag","38.71","23","0","0","0","01/01/1900 00:00:00","0"
"Wooden Fruit & Veg Chews","1","-","5016646639042","Wooden Fruit & Veg Chews","0","0.72","2.5","1","Small Animal","Toy","1","1","Glenkrag","64.58","23","0","0","0","01/01/1900 00:00:00","0"
"Wooden Gnaw Carrot Small x2","1","-","5016646639028","Wooden Gnaw Carrot Small x2","0","1.03","3.5","1","Small Animal","Toy","1","1","Glenkrag","63.8","23","0","0","0","01/01/1900 00:00:00","0"
"Beaphar Anti-Parasite Spot On (Rabbit/Guinea Pig)","1","B15342","8711231153428","Beaphar Anti-Parasite Spot On (Rabbit/Guinea Pig)","0","3.54","8","1","Small Animal","Medication","-1","3","R.F Canners","45.57","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Dwarf Hamster Harvest 700g","4","Burfp0002244f","5023861117507","Burgess Dwarf Hamster Harvest 700g","0","2.42","5.5","1","Small Animal","Food","2","6","R.F Canners","45.88","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Adult Rabbit With Mint 2kg","4","Burfp10005c","5023861111505","Burgess Excel Adult Rabbit With Mint 2kg","0","5","9","1","Small Animal","Food","4","8","R.F Canners","31.67","23","0","0","0","01/01/1900 00:00:00","0"
"Burgess Excel Chamomile Feeding Hay 500g","1","BURFP100603","5023861118436","Burgess Excel Chamomile Feeding Hay 500g","0","2.6","4.5","1","Small Animal","Food","2","5","R.F Canners","28.93","23","1","1","1","20/11/2017 11:02:26","1"
"Burgess Excel Chinchilla 2kg","2","Burfp10045c","5023861116227","Burgess Excel Chinchilla 2kg","0","6","10.95","1","Small Animal","Food","4","4","R.F Canners","32.6","23","0","0","0","01/01/1900 00:00:00","0"
